Country,Year,Sex,NCD_Mortality_Rate
Americas,2020,Female,356.78989
Western Pacific,2005,Male,427.21832
Western Pacific,2019,Female,534.02655
Europe,2013,Male,405.72403
Europe,2020,Male,629.10565
South-East Asia,2002,Female,458.83533
Europe,2005,Female,576.69006
Africa,2006,Female,550.14404
Africa,2021,Male,579.58246
Europe,2015,Female,526.45782
Europe,2008,Female,290.40451
Americas,2012,Female,269.10925
Europe,2001,Female,372.69537
Europe,2018,Female,239.1705
Americas,2021,Female,359.86121
Africa,2013,Male,498.3269
Americas,2009,Male,813.16711
Europe,2013,Male,360.74445
Africa,2018,Male,648.84308
Europe,2017,Female,422.32184
Europe,2017,Female,271.42749
South-East Asia,2014,Male,806.55615
Europe,2017,Male,861.06055
Africa,2009,Female,591.31287
Europe,2006,Male,489.91058
Africa,2019,Male,615.82269
Americas,2017,Male,620.87018
Africa,2016,Male,721.19379
Western Pacific,2010,Female,294.0343
Eastern Mediterranean,2004,Male,830.37927
Africa,2001,Male,773.60461
Europe,2019,Female,213.40654
South-East Asia,2016,Male,605.15613
Europe,2010,Male,649.57642
Western Pacific,2014,Male,1280.50684
Africa,2008,Male,818.89276
Europe,2000,Male,488.98697
Europe,2002,Female,319.81506
Africa,2002,Female,617.46429
Africa,2020,Male,706.77631
Western Pacific,2012,Female,217.11815
Eastern Mediterranean,2006,Female,847.52856
Europe,2007,Male,453.21518
Americas,2014,Male,441.30957
Africa,2021,Male,676.19159
Europe,2014,Female,227.67909
Africa,2019,Male,697.79541
Americas,2009,Male,592.67188
Americas,2018,Female,269.07382
Eastern Mediterranean,2003,Male,706.39368
Americas,2000,Female,489.67807
Eastern Mediterranean,2004,Male,701.31775
Americas,2006,Female,445.59793
Africa,2003,Female,733.98206
Europe,2004,Male,499.74786
Europe,2013,Female,372.31067
Eastern Mediterranean,2017,Female,652.98083
Europe,2008,Male,545.75787
Europe,2016,Male,801.98505
Americas,2003,Female,1031.32349
Africa,2006,Male,751.50879
Europe,2011,Male,398.03394
Eastern Mediterranean,2006,Female,576.73401
Eastern Mediterranean,2002,Male,711.7406
Europe,2013,Male,469.78738
Europe,2011,Male,412.8898
Americas,2019,Male,522.68494
Western Pacific,2001,Female,431.25528
Eastern Mediterranean,2006,Female,673.51184
Eastern Mediterranean,2017,Male,470.75943
Western Pacific,2007,Male,853.15204
Africa,2007,Male,631.6123
South-East Asia,2003,Female,571.55475
Africa,2001,Female,578.04065
Europe,2015,Male,569.3208
Europe,2009,Male,515.89844
